#{"t_start": 1775617342.4395812, "env_id": "None"}
r,l,t
-0.016948,100,234.608001
-0.019169,100,234.79541
-0.019663,100,234.992138
-0.01945,100,235.186409
-0.022809,100,235.382563
-0.019889,100,235.569745
-0.021184,100,235.765877
-0.018807,100,235.959077
-0.023947,100,236.141125
-0.019575,100,236.338756
-0.020711,100,236.530154
-0.023114,100,236.711771
-0.022688,100,239.001219
-0.028778,100,239.188466
-0.016779,100,239.372238
-0.020777,100,239.559687
-0.02502,100,239.740907
-0.021406,100,240.44675
-0.019683,100,240.633354
-0.01892,100,240.813014
-0.026633,100,240.997321
-0.020146,100,241.178988
-0.017656,100,241.3787
-0.016497,100,241.578301
-0.020502,100,241.768218
-0.020822,100,241.973266
-0.019464,100,242.174783
-0.024076,100,242.378941
-0.020477,100,242.591204
-0.017112,100,242.797101
-0.02413,100,243.011553
-0.020364,100,243.306593
-0.021675,100,243.528602
-0.019377,100,245.644969
-0.021905,100,245.878621
-0.018494,100,246.073374
-0.019596,100,246.260582
-0.022705,100,247.007559
-0.019205,100,247.196588
-0.022438,100,247.382708
-0.022661,100,247.571895
-0.022523,100,247.79431
-0.016927,100,248.022459
-0.026124,100,248.223271
-0.021612,100,248.447118
-0.023345,100,248.64211
-0.023413,100,248.862951
-0.021671,100,249.089982
-0.018358,100,249.29232
-0.022121,100,249.488611
-0.019544,100,249.691757
-0.027313,100,249.887499
-0.018891,100,250.089552
-0.021141,100,252.688057
-0.018232,100,252.8794
-0.021105,100,253.102578
-0.019383,100,253.335762
-0.02457,100,254.125021
-0.021061,100,254.321888
-0.026019,100,254.526173
-0.019214,100,254.735261
-0.018454,100,254.930205
-0.01879,100,255.145091
-0.022972,100,255.360226
-0.019683,100,255.56808
-0.024152,100,255.766856
-0.016818,100,255.963146
-0.021299,100,256.153332
-0.023427,100,256.357924
-0.020189,100,256.552588
-0.019364,100,256.7487
-0.024432,100,256.928774
-0.020886,100,257.116159
-0.020019,100,257.318221
-0.020152,100,259.651957
-0.018577,100,259.886278
-0.023314,100,260.123049
-0.020459,100,260.930398
-0.025158,100,261.145181
-0.023679,100,261.434843
-0.019116,100,261.664508
-0.020832,100,261.926303
-0.01832,100,262.126597
-0.01968,100,262.315053
-0.018992,100,262.4992
-0.018896,100,262.694887
-0.02088,100,262.883787
-0.023144,100,263.079445
-0.018269,100,263.272113
-0.020497,100,263.465985
-0.02202,100,263.652444
-0.023953,100,263.849171
-0.019803,100,264.048163
-0.025615,100,264.2589
-0.020654,100,266.572099
-0.022513,100,266.762579
-0.020638,100,266.951872
-0.02267,100,267.677356
-0.022466,100,267.867653
-0.017982,100,268.061283
-0.020393,100,268.264469
-0.021763,100,268.462407
-0.019184,100,268.745871
-0.026219,100,269.003116
-0.022181,100,269.227503
-0.022043,100,269.547083
-0.017149,100,269.8765
-0.017665,100,270.234875
-0.018327,100,270.466677
-0.021688,100,270.71461
-0.021646,100,271.010647
-0.024051,100,271.220539
-0.020885,100,271.437611
-0.019479,100,271.662309
-0.019324,100,271.91897
-0.017993,100,274.856968
-0.021948,100,275.139263
-0.024687,100,276.147465
-0.023086,100,276.439735
-0.025763,100,276.808099
-0.022129,100,276.516661
-0.017369,100,276.824044
-0.025915,100,277.243739
-0.029692,100,277.49882
-0.018253,100,277.750926
-0.024855,100,278.053258
-0.021055,100,278.280142
-0.026075,100,278.495753
-0.022741,100,278.681351
-0.020887,100,278.925792
-0.022065,100,279.104238
-0.019914,100,279.268202
-0.018266,100,279.432227
-0.020126,100,279.629611
-0.021192,100,279.895094
-0.021365,100,282.417512
-0.020501,100,282.584994
-0.020583,100,283.312755
-0.018436,100,283.492949
-0.0218,100,283.663944
-0.023455,100,283.822226
-0.020392,100,284.009431
-0.0184,100,284.218495
-0.027047,100,284.426059
-0.024763,100,284.607415
-0.018899,100,284.790523
-0.023414,100,284.995112
-0.019766,100,285.179435
-0.020019,100,285.346264
-0.021078,100,285.550321
-0.021839,100,285.768735
-0.019841,100,285.992785
-0.026637,100,286.217661
-0.020591,100,286.403854
-0.021071,100,286.623164
-0.023888,100,286.84019
-0.025873,100,289.122831
-0.021146,100,289.851073
-0.019835,100,290.055497
-0.021587,100,290.237707
-0.020734,100,290.421227
-0.0226,100,290.58937
-0.018658,100,290.759066
-0.017848,100,290.936975
-0.02575,100,291.108124
-0.019758,100,291.282028
-0.022141,100,291.487994
-0.022894,100,291.67302
-0.022322,100,291.846293
-0.021184,100,292.020789
-0.020953,100,292.193511
-0.02066,100,292.400821
-0.019897,100,292.586796
-0.023173,100,292.768521
-0.020473,100,292.970411
-0.019162,100,293.164649
